Title,Author,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Ban Status,Origin of Challenge
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
In the Midst of Winter,"Allende, Isabel",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
The House of the Spirits,"Allende, Isabel",,,,Florida,Orange County Public Schools,December 2023,Banned by restriction,Administration
The Blood of Flowers,"Amirrezvani, Anita",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Wintergirls,"Anderson, Laurie Halse",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Me and Earl and the Dying Girl,"Andrews, Jesse",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
The Haters,"Andrews, Jesse",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
I Know Why The Caged Bird Sings,"Angelou, Maya",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Singin' and Swingin' and Gettin' Merry Like Christmas,"Angelou, Maya",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Lucy in the Sky,Anonymous,,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
And Eternity,"Anthony, Piers",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
On A Pale Horse,"Anthony, Piers",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Four Plays by Aristophanes: The Birds; The Clouds; The Frogs; Lysistrata,Aristophanes,,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
A Shadow in the Ember,"Armentrout, Jennifer L.",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
From Blood and Ash,"Armentrout, Jennifer L.",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Storm and Fury,"Armentrout, Jennifer L.",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
City of the Lost: A Rockton Novel,"Armstrong, Kelley",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Mosquitoland,"Arnold, David",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Damsel,"Arnold, Elana K.",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Infandous,"Arnold, Elana K.",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Red Hood,"Arnold, Elana K.",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
What Girls Are Made Of,"Arnold, Elana K.",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Alias Grace,"Atwood, Margaret",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Hag-Seed: William Shakespeare's The Tempest Retold,"Atwood, Margaret",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Oryx and Crake,"Atwood, Margaret",,,,Florida,Orange County Public Schools,February 2024,Banned,Administration
The Blind Assassin,"Atwood, Margaret",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
The Handmaid's Tale,"Atwood, Margaret",,,,Florida,Orange County Public Schools,February 2024,Banned,Administration
The Handmaid's Tale: The Graphic Novel,"Atwood, Margaret",,"Nault, Renee",,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
The Testaments,"Atwood, Margaret",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
The Year of the Flood,"Atwood, Margaret",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
The Clan of the Cave Bear,"Auel, Jean M.",,,,Florida,Orange County Public Schools,December 2023,Banned by restriction,Administration
The Mammoth Hunters,"Auel, Jean M.",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
The Valley of Horses,"Auel, Jean M.",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
The Tale of John Barleycorn: Or From Barley to Beer,"Azarian, Mary",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
My Friend Dahmer,"Backderf, Derf",,,,Florida,Orange County Public Schools,December 2023,Banned by restriction,Administration
Six of Crows,"Bardugo, Leigh",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Wise Young Fool,"Beaudoin, Sean",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Herzog,"Bellow, Saul",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
The Color Master,"Bender, Aimee",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
The Seven Rays,"Bendinger, Jessica",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Glimpse: A YA Paranormal Romance,"Benefiel, Stacey Wallace",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
City of Thieves (DB),"Benioff, David",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
The History Boys: A Play,"Bennett, Alan",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Mr. Darcy Takes a Wife: A Deliciously Steamy Historical Romance that Starts After the Wedding Night,"Berdoll, Linda",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Best in Show,"Berenson, Laurien",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Dark Eye,"Bernhardt, William",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
"Friday Night Lights: A Town, A Team, and a Dream","Bissinger, H.G.",,,,Florida,Orange County Public Schools,December 2023,Banned by restriction,Administration
Geektastic: Stories from the Nerd Herd,"Black, Holly","Castellucci, Cecil; Anderson, M.T.; Bray, Libba; Clare, Cassandra; Green, John; Lynn, Tracy; Leitich Smith, Cynthia and Greg; Levithan, David; Link, Kelly; Lyga, Barry; Mass, Wendy; Nix, Garth; Westerfield, Scott; Yee, Lisa; Zarr, Sara",,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Red Glove,"Black, Holly",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
I Was a Teenage Fairy,"Block, Francesca Lia",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Sex on the Brain: The Biological Differences Between Men and Women,"Blum, Deborah",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Forever...,"Blume, Judy",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Summer Sisters,"Blume, Judy",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Midwives,"Bohjalian, Chris",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Bronxwood,"Booth, Coe",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
The Best American Short Stories 2015,"Boyle, T.C.",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
The Road to Wellville,"Boyle, T.C.",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
The Darkest Minds,"Bracken, Alexandra",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
The Dark Garden,"Bradley, Eden",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
The Mists of Avalon,"Bradley, Marion Zimmer",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Forever in Blue: The Fourth Summer of the Sisterhood,"Brashares, Ann",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Sisterhood of the Traveling Pants,"Brashares, Ann",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
The Last Summer (of You and Me),"Brashares, Ann",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Electric Girl,"Brennan, Michael",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
The Demon's Surrender,"Brennan, Sarah Rees",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Monkey Man,"Brewer, Steve",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Over the Edge,"Brockmann, Suzanne",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Candy,"Brooks, Kevin",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Angels and Demons,"Brown, Dan",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
The Bridges of Madison County (Musical Score),"Brown, Jason Robert",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
A Secret Splendor,"Brown, Sandra",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Above and Beyond,"Brown, Sandra",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
In a Class by Itself,"Brown, Sandra",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Lethal,"Brown, Sandra",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Seduction by Design,"Brown, Sandra",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Send No Flowers,"Brown, Sandra",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Unspeakable,"Brown, Sandra",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Doing It,"Burgess, Melvin",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
The Neon Rain,"Burke, James Lee",,,,Florida,Orange County Public Schools,December 2023,Banned by restriction,Administration
The Glister,"Burnside, John",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Running with Scissors: A Memoir,"Burroughs, Augusten",,,,Florida,Orange County Public Schools,December 2023,Banned by restriction,Administration
Summer and the City,"Bushnell, Candace",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
The Carrie Diaries,"Bushnell, Candace",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Kindred,"Butler, Octavia E.",Killer Spirit,"Barnes, Jennifer Lynn",,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Kindred: A Graphic Novel Adaptation,"Butler, Octavia E.","Duffy, Damian","Jennings, John",,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
El Gigante Solitario,"Cappellini, Mary",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Xenocide,"Card, Orson Scott",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
How Beautiful the Ordinary: Twelve Stories of Identity,"Cart, Michael",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
The Bloody Chamber and Other Stories,"Carter, Angela",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Kisses From Hell,"Cast, Kristin","Mead, Richelle; Noel, Alyson; Armstrong, Kelley; Block, Francesca Lia",,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Chosen,"Cast, P. C.","Cast, Kristin",,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Marked,"Cast, P. C.","Cast, Kristin",,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
"Farewell, My Lovely","Chandler, Raymond",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Playback,"Chandler, Raymond",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Raymond Chandler: Stories and Early Novels: Pulp Stories / The Big Sleep / Farewell My Lovely / The High Window,"Chandler, Raymond",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
The Big Sleep,"Chandler, Raymond",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
The High Window,"Chandler, Raymond",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
The Lady in the Lake,"Chandler, Raymond",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
The Long Goodbye,"Chandler, Raymond",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Papillon,"Charrière, Henri",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
The Year of Living Awkwardly,"Chastain, Emma",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Pieces: A Collection of New Voices,"Chbosky, Stephen",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
The Perks of Being a Wallflower,"Chbosky, Stephen",,,,Florida,Orange County Public Schools,September 2023,Banned pending investigation,Administration
The Lady and the Unicorn,"Chevalier, Tracy",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
My Wicked Wicked Ways: Poems,"Cisneros, Sandra",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
The Tesla Testament,"Ciurana, Eugene",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Chain Of Iron,"Clare, Cassandra",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Chain Of Thorns,"Clare, Cassandra",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Queen of Air and Darkness,"Clare, Cassandra",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
The Red Scrolls of Magic,"Clare, Cassandra","Chu, Wesley",,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Little Bee,"Cleave, Chris",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
The Girls,"Cline, Emma",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Ready Player One,"Cline, Ernest",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Scooter Girl,"Clugston-Flores, Chynna",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Disgrace,"Coetzee, J.M.",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
The Murder of Helen Jewett,"Cohen, Patricia Cline",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Naomi and Ely's No Kiss List,"Cohn, Rachel","Levithan, David",,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Nick and Norah's Infinite Playlist,"Cohn, Rachel","Levithan, David",,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Finding Yvonne,"Colbert, Brandy",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
The Goats,"Cole, Brock",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
American Gangster,"Collins, Max Allan",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Brules,"Combs, Harry",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
The Lords of Discipline,"Conroy, Pat",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Captain Marvel,"Conway, Gerry",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Coma,"Cook, Robin",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Leviathan Wakes,"Corey, James S. A.",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Heroes,"Cormier, Robert",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
All That Remains,"Cornwell, Patricia",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Body of Evidence,"Cornwell, Patricia",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Postmortem: A Mystery Introducing Dr. Kay Scarpetta,"Cornwell, Patricia",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Predator,"Cornwell, Patricia",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Scarpetta,"Cornwell, Patricia",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Trace,"Cornwell, Patricia",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Nearly Gone,"Cosimano, Elle",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
A Veil Removed,"Cox, Michelle",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
The Bondwoman's Narrative,"Crafts, Hannah","Gates Jr., Henry Louis",,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
First Semester,"Cross II, Cecil R.",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Running Loose,"Crutcher, Chris",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Balzac and the Little Chinese Seamstress,"Dai, Sijie",,,"Rilke, Ina",Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
1215: The Year of Magna Carta,"Danziger, Danny","Gillingham, John",,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Sir Apropos of Nothing,"David, Peter",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Never Cry Werewolf,"Davis, Heather",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Corelli's Mandolin,"De Bernières, Louis",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Gates of Paradise,"de la Cruz, Melissa",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
American Beauty,"Dean, Zoey",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Sunset Boulevard,"Dean, Zoey",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Tall Cool One,"Dean, Zoey",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
The Feeling of Falling in Love,"Deaver, Mason",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
The Girl Before,"Delaney, J. P.",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
The Inheritance Of Loss,"Desai, Kiran",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
This Lullaby,"Dessen, Sarah",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
The Brief Wondrous Life of Oscar Wao,"Díaz, Junot",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Blade Runner (do Androids Dream of Electric Sheep),"Dick, Philip K.",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Don't Get Caught,"Dinan, Kurt",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Strangers She Knows,"Dodd, Christina",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
These Shallow Graves,"Donnelly, Jennifer",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Room,"Donoghue, Emma",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
A Heart of Stone,"Dorrestein, Renate",,,"Velmans, Hester",Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
The Cases that Haunt Us,"Douglas, John E.",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
November Blues,"Draper, Sharon M.",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Panic (SMD),"Draper, Sharon M.",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
House of Sand and Fog,"Dubus III, Andre",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
A Stolen Life,"Dugard, Jaycee",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Submarine,"Dunthorne, Joe",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Paso a Paso,"Echeverria, José Antonio",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Flesh and Spirit,"Edinger, Claudio",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
The Circle,"Eggers, Dave",,,,Florida,Orange County Public Schools,December 2023,Banned by restriction,Administration
You Shall Know Our Velocity,"Eggers, Dave",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Perfect Chemistry,"Elkeles, Simone",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
The Authority: Book One,"Ellis, Warren",,"Hitch, Bryan",,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Invisible Man,"Ellison, Ralph",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
The Gathering,"Enright, Anne",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
The Painter from Shanghai,"Epstein, Jennifer Cody",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
The Round House,"Erdrich, Louise",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Sophomore Undercover,"Esch, Ben",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Like Water for Chocolate,"Esquivel, Laura",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Middlesex,"Eugenides, Jeffrey",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
The Horse Whisperer,"Evans, Nicholas",,,,Florida,Orange County Public Schools,December 2023,Banned by restriction,Administration
Sleepless,"Fahy, Thomas",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Ask the Dust,"Fante, John",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
"Bad Days In History: A Gleefully Grim Chronicle of Misfortune, Mayhem, and Misery for Every Day of the Year","Farquhar, Michael",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
The Comedy Writer,"Farrelly, Peter",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
White Oleander,"Fitch, Janet",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Madame Bovary: A Story of Provincial Life,"Flaubert, Gustave",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Dark Places,"Flynn, Gillian",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Sharp Objects,"Flynn, Gillian",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Separation of Power,"Flynn, Vince",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Extremely Loud and Incredibly Close,"Foer, Jonathan Safran",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
The Carnival at Bray,"Foley, Jessie Ann",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
The Guest List,"Foley, Lucy",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
The Pillars of the Earth,"Follett, Ken",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
World Without End,"Follett, Ken",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Come Back: A Mother and Daughter's Journey Through Hell and Back,"Fontaine, Claire","Fontaine, Mia",,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
If I Stay,"Forman, Gayle",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Just One Day,"Forman, Gayle",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Billy Lynn's Long Halftime Walk,"Fountain, Ben",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
The Jane Austen Book Club,"Fowler, Karen Joy",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Special of the Day,"Fox, Elaine",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
You Hear Me? Poems and Writing by Teenage Boys,"Franco, Betsy",,"Nickles, Nina",,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Palo Alto: Stories,"Franco, James",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Dime,"Frank, E. R.",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
A Landing on the Sun,"Frayn, Michael",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Cold Mountain,"Frazier, Charles",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
The Likeness,"French, Tana",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Anansi Boys,"Gaiman, Neil",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
The House of Bernarda Alba,"García Lorca, Federico","Lorca, Federico Garcia",,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Chronicle of a Death Foretold,"García Márquez, Gabriel",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Love in the Time of Cholera,"García Márquez, Gabriel",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Annie on My Mind,"Garden, Nancy",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Killjoy,"Garwood, Julie",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
"Eat, Pray, Love: One Women's Search for Everything Across Italy, India and Indonesia","Gilbert, Elizabeth",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Howl and Other Poems,"Ginsberg, Allen",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Girl in Pieces,"Glasgow, Kathleen",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Envy,"Godberson, Anna",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Fat Kid Rules the World,"Going, K.L.",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Bee Season,"Goldberg, Myla",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Kenang-Kenangan Seorang Geisha (Memoirs of a Geisha),"Golden, Arthur",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Memoirs of a Geisha,"Golden, Arthur",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Would You Rather… Terrifically Twisted: Over 300 Crazy Questions,"Gomberg, David",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Sister Mischief,"Goode, Laura",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
A Reliable Wife,"Goolrick, Robert",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Forever for a Year,"Gottfred, B. T.",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
The Handsome Girl and Her Beautiful Boy,"Gottfred, B. T.",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
The Nerdy and the Dirty,"Gottfred, B. T.",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Behind the Gates,"Gray, Eva",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Run For Cover,"Gray, Eva",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Set Me Free,"Gray, Eva",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
With the Enemy,"Gray, Eva",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
An Abundance of Katherines,"Green, John",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Looking for Alaska,"Green, John",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Paper Towns,"Green, John",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
"Will Grayson, Will Grayson","Green, John","Levithan, David",,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
"Sex Plus: Learning, Loving, and Enjoying Your Body","Green, Laci",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
The Quiet American,"Greene, Graham",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
None of the Above,"Gregorio, I. W.",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Changeling,"Gregory, Philippa",,"van Deelen, Fred; Taylor, Sally",,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
The Other Boleyn Girl,"Gregory, Philippa",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
The Firm,"Grisham, John",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
A Time to Kill,"Grishman, John",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
From Where I Watch You,"Grogan, Shannon",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Water for Elephants,"Gruen, Sara",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
